,it,it_time,total_time,total_area,energy,sat_0_x,sat_0_y,sat_1_x,sat_1_y,sat_2_x,sat_2_y,sat_3_x,sat_3_y,sat_4_x,sat_4_y,sat_5_x,sat_5_y,sat_6_x,sat_6_y,sat_7_x,sat_7_y,sat_8_x,sat_8_y,sat_9_x,sat_9_y,sat_10_x,sat_10_y,sat_11_x,sat_11_y,sat_12_x,sat_12_y,sat_13_x,sat_13_y,sat_14_x,sat_14_y
0,0,0.01270437240600586,0.01270437240600586,174271.0402710405,5.968558980384842e-13,5.292157037902992,1.20047162510167,2.9362139523172175,6.722679597604374,5.602673970449903,-2.9318336396292333,-0.30965655538067355,1.2317955058151169,0.9392031049527042,-2.5622872179051743,-7.658969447502236,1.9608557863210818,-2.6633572428903385,-5.942389404671781,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,7.491601174761022,-6.7359649451142065,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,7.579104721067996,5.309764164590201,-1.0493465403346107,6.0704158493099225
1,1,0.009383678436279297,0.022088050842285156,174672.75510722774,1.0462755813562694,5.292157037902992,1.20047162510167,2.9362139523172175,6.722679597604374,5.602673970449903,-2.9318336396292333,-0.30965655538067355,1.2317955058151169,0.9392031049527042,-2.5622872179051743,-7.658969447502236,1.9608557863210818,-2.6633572428903385,-5.942389404671781,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,6.491601174761022,-6.7359649451142065,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,7.579104721067996,5.309764164590201,-1.0493465403346107,6.0704158493099225
2,2,0.0038733482360839844,0.02596139907836914,174766.3074093164,0.33039294263929264,5.292157037902992,1.20047162510167,2.436213952317217,5.856654193819936,5.602673970449903,-2.9318336396292333,-0.30965655538067355,1.2317955058151169,0.9392031049527042,-2.5622872179051743,-8.158969447502237,1.0948303825366432,-2.6633572428903385,-5.942389404671781,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,5.991601174761021,-7.601990348898645,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,7.579104721067996,5.309764164590201,-1.0493465403346107,6.0704158493099225
3,3,0.0,0.02596139907836914,174108.1153559203,0.49883627029623767,5.292157037902992,1.20047162510167,3.436213952317217,5.856654193819936,5.602673970449903,-2.9318336396292333,-0.30965655538067355,1.2317955058151169,0.9392031049527042,-2.5622872179051743,-8.158969447502237,1.0948303825366432,-3.163357242890339,-6.808414808456219,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,5.991601174761021,-7.601990348898645,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,7.579104721067996,5.309764164590201,-1.0493465403346107,6.0704158493099225
4,4,0.0,0.02596139907836914,174006.81176587942,0.32467637683544126,5.292157037902992,1.20047162510167,3.436213952317217,5.856654193819936,5.602673970449903,-2.9318336396292333,-0.30965655538067355,1.2317955058151169,0.9392031049527042,-2.5622872179051743,-7.658969447502237,0.2288049787522044,-3.163357242890339,-6.808414808456219,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,1.1971390369203907,-8.31777826927995,5.991601174761021,-7.601990348898645,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,8.579104721067996,5.309764164590201,-1.0493465403346107,6.0704158493099225
5,5,0.007430553436279297,0.03339195251464844,174138.30681614802,0.611999009919515,5.292157037902992,1.20047162510167,2.9362139523172175,6.722679597604374,5.602673970449903,-2.9318336396292333,-0.30965655538067355,1.2317955058151169,0.9392031049527042,-2.5622872179051743,-7.658969447502237,0.2288049787522044,-3.163357242890339,-6.808414808456219,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,0.6971390369203909,-7.451752865495512,5.991601174761021,-7.601990348898645,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,8.579104721067996,5.309764164590201,-1.0493465403346107,6.0704158493099225
6,6,0.0076961517333984375,0.041088104248046875,174013.52114952257,0.4165808598876879,5.292157037902992,1.20047162510167,3.436213952317217,5.856654193819935,5.602673970449903,-2.9318336396292333,-0.30965655538067355,1.2317955058151169,0.9392031049527042,-2.5622872179051743,-7.658969447502237,0.2288049787522044,-3.163357242890339,-6.808414808456219,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,0.19713903692039048,-8.31777826927995,5.991601174761021,-7.601990348898645,-7.748389898909834,-3.4618510909560283,9.51292431987054,0.5684989126437404,8.579104721067996,5.309764164590201,-1.0493465403346107,6.0704158493099225
7,7,0.0,0.041088104248046875,173862.27727396696,1.4384155450170226,5.292157037902992,1.20047162510167,3.436213952317217,5.856654193819935,5.602673970449903,-2.9318336396292333,-0.30965655538067355,1.2317955058151169,0.9392031049527042,-2.5622872179051743,-7.658969447502237,0.2288049787522044,-3.163357242890339,-6.808414808456219,-5.118810571875038,5.852326185695369,-3.9477222315345637,-1.3847538144441272,0.19713903692039048,-8.31777826927995,5.991601174761021,-7.601990348898645,-7.248389898909834,-2.59582568717159,10.51292431987054,0.5684989126437404,8.579104721067996,5.309764164590201,-1.0493465403346107,6.0704158493099225
8,8,0.013102293014526367,0.05419039726257324,173577.91696105263,0.7328829365184788,5.292157037902992,1.20047162510167,3.436213952317217,5.856654193819935,5.602673970449903,-2.9318336396292333,-0.30965655538067355,1.2317955058151169,0.9392031049527042,-2.5622872179051743,-7.658969447502237,0.2288049787522044,-3.6633572428903385,-5.942389404671781,-5.618810571875038,6.718351589479807,-3.9477222315345637,-1.3847538144441272,0.19713903692039048,-8.31777826927995,5.991601174761021,-7.601990348898645,-7.248389898909834,-2.59582568717159,10.51292431987054,0.5684989126437404,9.079104721067996,4.443738760805763,-1.0493465403346107,6.0704158493099225
9,9,0.0,0.05419039726257324,173407.30715856946,0.5427568695832008,5.292157037902992,1.20047162510167,3.436213952317217,5.856654193819935,5.602673970449903,-2.9318336396292333,-0.30965655538067355,1.2317955058151169,0.9392031049527042,-2.5622872179051743,-7.658969447502237,0.2288049787522044,-3.6633572428903385,-5.942389404671781,-5.618810571875038,6.718351589479807,-3.4477222315345637,-0.5187284106596887,0.19713903692039048,-8.31777826927995,6.991601174761021,-7.601990348898645,-7.248389898909834,-2.59582568717159,10.51292431987054,0.5684989126437404,9.079104721067996,4.443738760805763,-1.0493465403346107,6.0704158493099225
