,it,it_time,total_time,total_area,sat_0_x,sat_0_y,sat_1_x,sat_1_y,sat_2_x,sat_2_y,sat_3_x,sat_3_y,sat_4_x,sat_4_y,sat_5_x,sat_5_y,sat_6_x,sat_6_y,sat_7_x,sat_7_y,sat_8_x,sat_8_y,sat_9_x,sat_9_y,sat_10_x,sat_10_y,sat_11_x,sat_11_y,sat_12_x,sat_12_y,sat_13_x,sat_13_y,sat_14_x,sat_14_y
0,0,0.009612321853637695,0.009612321853637695,174271.04027104055,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167
1,1,0.0,0.009612321853637695,174180.9940946372,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167
2,2,0.0033321380615234375,0.012944459915161133,172690.60412884646,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167
3,3,0.0,0.012944459915161133,171308.84320171608,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167
4,4,0.0,0.012944459915161133,170394.88454817294,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167,5.292157037902992,1.20047162510167
5,5,0.0037026405334472656,0.0166471004486084,169864.05519883777,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086
6,6,0.008019685745239258,0.024666786193847656,169031.1967347972,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086
7,7,0.003980398178100586,0.028647184371948242,168227.12184256437,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086
8,8,0.0,0.028647184371948242,167763.35023511914,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086
9,9,0.0,0.028647184371948242,167840.12262088174,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086,4.792157037902992,2.0664970288861086
