,it,it_time,total_time,total_area
0,0,0.0035600662231445312,0.0035600662231445312,174271.04027104055
1,1,0.006539106369018555,0.010099172592163086,173755.33463188188
2,2,0.0014607906341552734,0.01155996322631836,173405.31688394985
3,3,0.002784252166748047,0.014344215393066406,172863.6083260353
4,4,0.0,0.014344215393066406,172506.57040640482
5,5,0.008480072021484375,0.02282428741455078,171943.7067932586
6,6,0.005280494689941406,0.028104782104492188,171833.20385033832
7,7,0.0077440738677978516,0.03584885597229004,172149.5994571288
8,8,0.016613483428955078,0.05246233940124512,171761.31822779495
